"Intensity","E4","Composition","Points:0","Points:1","Points:2"
1.1003,1.4684,0,-0.27891,0.23028,-1.6434
1.1002,1.468,0,-0.27891,0.25326,-1.6434
1.1003,1.4683,0,-0.27891,0.27625,-1.6434
1.1005,1.4695,0,-0.27891,0.29923,-1.6434
1.101,1.4719,0,-0.27891,0.32222,-1.6434
1.1016,1.4755,0,-0.27891,0.3452,-1.6434
1.1026,1.4807,0,-0.27891,0.36818,-1.6434
1.1038,1.4874,0,-0.27891,0.39117,-1.6434
1.1054,1.4956,0,-0.27891,0.41415,-1.6434
1.1071,1.505,0,-0.27891,0.43714,-1.6434
1.109,1.5155,0,-0.27891,0.46012,-1.6434
1.1111,1.527,0,-0.27891,0.48311,-1.6434
1.1134,1.5393,0,-0.27891,0.50609,-1.6434
1.1157,1.5525,0,-0.27891,0.52908,-1.6434
1.1182,1.5666,0,-0.27891,0.55206,-1.6434
1.1208,1.5812,0,-0.27891,0.57504,-1.6434
1.1235,1.596,0,-0.27891,0.59803,-1.6434
1.1261,1.6111,0,-0.27891,0.62101,-1.6434
1.1287,1.6263,0,-0.27891,0.644,-1.6434
1.1314,1.6417,0,-0.27891,0.66698,-1.6434
1.134,1.657,0,-0.27891,0.68997,-1.6434
1.1366,1.6722,0,-0.27891,0.71295,-1.6434
1.1391,1.6871,0,-0.27891,0.73593,-1.6434
1.1416,1.7017,0,-0.27891,0.75892,-1.6434
1.1439,1.716,0,-0.27891,0.7819,-1.6434
1.1463,1.7302,0,-0.27891,0.80489,-1.6434
1.1486,1.7443,0,-0.27891,0.82787,-1.6434
1.1509,1.7583,0,-0.27891,0.85086,-1.6434
1.1532,1.7721,0,-0.27891,0.87384,-1.6434
1.1554,1.786,0,-0.27891,0.89683,-1.6434
1.1577,1.8,0,-0.27891,0.91981,-1.6434
1.1599,1.8142,0,-0.27891,0.94279,-1.6434
1.1623,1.8286,0,-0.27891,0.96578,-1.6434
1.1646,1.8432,0,-0.27891,0.98876,-1.6434
1.1669,1.8578,0,-0.27891,1.0117,-1.6434
1.1692,1.8725,0,-0.27891,1.0347,-1.6434
1.1715,1.8873,0,-0.27891,1.0577,-1.6434
1.1738,1.9021,0,-0.27891,1.0807,-1.6434
1.1761,1.9166,0,-0.27891,1.1037,-1.6434
1.1782,1.9303,0,-0.27891,1.1267,-1.6434
1.1801,1.9424,0,-0.27891,1.1497,-1.6434
1.1816,1.9522,0,-0.27891,1.1726,-1.6434
