Intensity,E4,Composition,Points:0,Points:1,Points:2
0.6921,0.22945,0,-0.10379,0.20362,-0.52493
0.69436,0.23246,0,-0.10379,0.21146,-0.52493
0.69713,0.23619,0,-0.10379,0.21929,-0.52493
0.70039,0.24064,0,-0.10379,0.22712,-0.52493
0.70412,0.24582,0,-0.10379,0.23496,-0.52493
0.70832,0.25174,0,-0.10379,0.24279,-0.52493
0.71296,0.25841,0,-0.10379,0.25063,-0.52493
0.71802,0.26584,0,-0.10379,0.25846,-0.52493
0.72349,0.27404,0,-0.10379,0.2663,-0.52493
0.72934,0.28302,0,-0.10379,0.27413,-0.52493
0.73555,0.2928,0,-0.10379,0.28196,-0.52493
0.74212,0.3034,0,-0.10379,0.2898,-0.52493
0.74902,0.31486,0,-0.10379,0.29763,-0.52493
0.75624,0.3272,0,-0.10379,0.30547,-0.52493
0.7638,0.34047,0,-0.10379,0.3133,-0.52493
0.77167,0.35472,0,-0.10379,0.32113,-0.52493
0.77986,0.37003,0,-0.10379,0.32897,-0.52493
0.78837,0.38645,0,-0.10379,0.3368,-0.52493
0.79721,0.40407,0,-0.10379,0.34464,-0.52493
0.80638,0.42298,0,-0.10379,0.35247,-0.52493
0.81589,0.44328,0,-0.10379,0.3603,-0.52493
0.82574,0.46506,0,-0.10379,0.36814,-0.52493
0.83592,0.48842,0,-0.10379,0.37597,-0.52493
0.84644,0.51344,0,-0.10379,0.38381,-0.52493
0.85725,0.54017,0,-0.10379,0.39164,-0.52493
0.86832,0.5686,0,-0.10379,0.39948,-0.52493
0.87955,0.59857,0,-0.10379,0.40731,-0.52493
0.89079,0.62973,0,-0.10379,0.41514,-0.52493
0.90181,0.66146,0,-0.10379,0.42298,-0.52493
0.91233,0.69285,0,-0.10379,0.43081,-0.52493
0.92204,0.72279,0,-0.10379,0.43865,-0.52493
0.93067,0.75024,0,-0.10379,0.44648,-0.52493
0.93809,0.77445,0,-0.10379,0.45431,-0.52493
0.94426,0.79504,0,-0.10379,0.46215,-0.52493
0.94928,0.81205,0,-0.10379,0.46998,-0.52493
0.95329,0.82588,0,-0.10379,0.47782,-0.52493
0.95653,0.8372,0,-0.10379,0.48565,-0.52493
0.95927,0.84684,0,-0.10379,0.49348,-0.52493
0.96177,0.85571,0,-0.10379,0.50132,-0.52493
0.96426,0.86464,0,-0.10379,0.50915,-0.52493
0.96694,0.87433,0,-0.10379,0.51699,-0.52493
0.96997,0.88534,0,-0.10379,0.52482,-0.52493
1.1486,1.7415,0,-0.10379,-0.52495,-0.51709
1.1403,1.6917,0,-0.10379,-0.51712,-0.51709
1.1323,1.6446,0,-0.10379,-0.50928,-0.51709
1.1247,1.6009,0,-0.10379,-0.50145,-0.51709
1.1178,1.5618,0,-0.10379,-0.49361,-0.51709
1.1117,1.528,0,-0.10379,-0.48578,-0.51709
1.1065,1.5,0,-0.10379,-0.47795,-0.51709
1.1025,1.478,0,-0.10379,-0.47011,-0.51709
1.0994,1.4616,0,-0.10379,-0.46228,-0.51709
1.0972,1.4497,0,-0.10379,-0.45444,-0.51709
1.0956,1.441,0,-0.10379,-0.44661,-0.51709
1.0941,1.4336,0,-0.10379,-0.43878,-0.51709
1.0925,1.4251,0,-0.10379,-0.43094,-0.51709
1.0903,1.4134,0,-0.10379,-0.42311,-0.51709
1.0871,1.3969,0,-0.10379,-0.41527,-0.51709
1.0828,1.375,0,-0.10379,-0.40744,-0.51709
1.0775,1.348,0,-0.10379,-0.39961,-0.51709
1.0711,1.3167,0,-0.10379,-0.39177,-0.51709
1.064,1.2819,0,-0.10379,-0.38394,-0.51709
1.0561,1.2445,0,-0.10379,-0.3761,-0.51709
1.0477,1.2054,0,-0.10379,-0.36827,-0.51709
1.0389,1.1651,0,-0.10379,-0.36043,-0.51709
1.0296,1.1242,0,-0.10379,-0.3526,-0.51709
1.0201,1.0832,0,-0.10379,-0.34477,-0.51709
1.0103,1.0425,0,-0.10379,-0.33693,-0.51709
1.0004,1.0022,0,-0.10379,-0.3291,-0.51709
0.99035,0.96251,0,-0.10379,-0.32126,-0.51709
0.98019,0.92366,0,-0.10379,-0.31343,-0.51709
0.96994,0.88568,0,-0.10379,-0.3056,-0.51709
0.95961,0.84862,0,-0.10379,-0.29776,-0.51709
0.94922,0.8125,0,-0.10379,-0.28993,-0.51709
0.93876,0.77732,0,-0.10379,-0.28209,-0.51709
0.92823,0.74308,0,-0.10379,-0.27426,-0.51709
0.91763,0.70978,0,-0.10379,-0.26643,-0.51709
0.90697,0.6774,0,-0.10379,-0.25859,-0.51709
0.89624,0.64595,0,-0.10379,-0.25076,-0.51709
0.88545,0.61545,0,-0.10379,-0.24292,-0.51709
0.87461,0.58591,0,-0.10379,-0.23509,-0.51709
0.86375,0.55737,0,-0.10379,-0.22725,-0.51709
0.85288,0.52986,0,-0.10379,-0.21942,-0.51709
0.84204,0.50345,0,-0.10379,-0.21159,-0.51709
0.83127,0.47819,0,-0.10379,-0.20375,-0.51709
0.82061,0.45413,0,-0.10379,-0.19592,-0.51709
0.81011,0.43134,0,-0.10379,-0.18808,-0.51709
0.79983,0.40987,0,-0.10379,-0.18025,-0.51709
0.78985,0.38976,0,-0.10379,-0.17242,-0.51709
0.78021,0.37107,0,-0.10379,-0.16458,-0.51709
0.77099,0.35382,0,-0.10379,-0.15675,-0.51709
0.76226,0.33803,0,-0.10379,-0.14891,-0.51709
0.75408,0.32372,0,-0.10379,-0.14108,-0.51709
0.7465,0.31086,0,-0.10379,-0.13325,-0.51709
0.73958,0.29946,0,-0.10379,-0.12541,-0.51709
0.73336,0.28946,0,-0.10379,-0.11758,-0.51709
0.72786,0.28084,0,-0.10379,-0.10974,-0.51709
0.7231,0.27354,0,-0.10379,-0.10191,-0.51709
0.71909,0.26748,0,-0.10379,-0.094075,-0.51709
0.71581,0.26261,0,-0.10379,-0.08624,-0.51709
0.71324,0.25882,0,-0.10379,-0.078406,-0.51709
0.71132,0.25604,0,-0.10379,-0.070572,-0.51709
0.71002,0.25415,0,-0.10379,-0.062738,-0.51709
