Intensity,E4,Composition,Points:0,Points:1,Points:2,Run-Aver-E4,Conv-Gauss
0.7135,0.25927,0,-0.10379,0.007769,-0.52493,10.159,9.0927
0.71356,0.25937,0,-0.10379,0.015603,-0.52493,10.1733,9.09739
0.71345,0.25923,0,-0.10379,0.023437,-0.52493,10.1833,9.10071
0.71313,0.25879,0,-0.10379,0.031271,-0.52493,10.19,9.10266
0.71259,0.25802,0,-0.10379,0.039106,-0.52493,10.1944,9.10322
0.7118,0.25689,0,-0.10379,0.04694,-0.52493,10.1977,9.10242
0.71076,0.25541,0,-0.10379,0.054774,-0.52493,10.2131,9.10023
0.70948,0.25358,0,-0.10379,0.062608,-0.52493,10.2276,9.09668
0.70798,0.25144,0,-0.10379,0.070442,-0.52493,10.1689,9.09176
0.70627,0.24903,0,-0.10379,0.078276,-0.52493,10.1672,9.08547
0.70441,0.2464,0,-0.10379,0.08611,-0.52493,10.1812,9.07782
0.70242,0.24363,0,-0.10379,0.093944,-0.52493,10.197,9.06881
0.70036,0.24078,0,-0.10379,0.10178,-0.52493,10.1815,9.05846
0.69829,0.23792,0,-0.10379,0.10961,-0.52493,9.97113,9.04678
0.69625,0.23515,0,-0.10379,0.11745,-0.52493,9.41721,9.03374
0.69432,0.23253,0,-0.10379,0.12528,-0.52493,9.36274,9.0194
0.69255,0.23015,0,-0.10379,0.13311,-0.52493,9.32794,9.00375
0.69099,0.22807,0,-0.10379,0.14095,-0.52493,9.23781,8.98677
0.68972,0.22638,0,-0.10379,0.14878,-0.52493,8.93139,8.96853
0.68877,0.22512,0,-0.10379,0.15662,-0.52493,8.38421,8.94898
0.6882,0.22435,0,-0.10379,0.16445,-0.52493,8.13777,8.92819
0.68804,0.22413,0,-0.10379,0.17229,-0.52493,7.86142,8.90612
0.68833,0.2245,0,-0.10379,0.18012,-0.52493,6.97351,8.88284
0.68909,0.22549,0,-0.10379,0.18795,-0.52493,4.93295,8.85833
0.69034,0.22713,0,-0.10379,0.19579,-0.52493,4.11495,8.83258
0.6921,0.22945,0,-0.10379,0.20362,-0.52493,3.27384,8.80568
0.69436,0.23246,0,-0.10379,0.21146,-0.52493,2.69149,8.77756
0.69713,0.23619,0,-0.10379,0.21929,-0.52493,2.30157,8.74833
0.70039,0.24064,0,-0.10379,0.22712,-0.52493,1.96926,8.71795
0.70412,0.24582,0,-0.10379,0.23496,-0.52493,1.72614,8.68641
0.70832,0.25174,0,-0.10379,0.24279,-0.52493,1.53474,8.65381
0.71296,0.25841,0,-0.10379,0.25063,-0.52493,1.37588,8.62008
0.71802,0.26584,0,-0.10379,0.25846,-0.52493,1.2461,8.58533
0.72349,0.27404,0,-0.10379,0.2663,-0.52493,1.13861,8.5495
0.72934,0.28302,0,-0.10379,0.27413,-0.52493,1.04854,8.51268
0.73555,0.2928,0,-0.10379,0.28196,-0.52493,0.972986,8.47487
0.74212,0.3034,0,-0.10379,0.2898,-0.52493,0.909371,8.43603
0.74902,0.31486,0,-0.10379,0.29763,-0.52493,0.855387,8.39628
0.75624,0.3272,0,-0.10379,0.30547,-0.52493,0.809555,8.35555
0.7638,0.34047,0,-0.10379,0.3133,-0.52493,0.77051,8.31395
0.77167,0.35472,0,-0.10379,0.32113,-0.52493,0.737389,8.27147
0.77986,0.37003,0,-0.10379,0.32897,-0.52493,0.709253,8.22806
0.78837,0.38645,0,-0.10379,0.3368,-0.52493,0.685455,8.18387
0.79721,0.40407,0,-0.10379,0.34464,-0.52493,0.665208,8.1388
0.80638,0.42298,0,-0.10379,0.35247,-0.52493,0.648005,8.09299
0.81589,0.44328,0,-0.10379,0.3603,-0.52493,0.633251,8.04641
0.82574,0.46506,0,-0.10379,0.36814,-0.52493,0.620547,7.99902
0.83592,0.48842,0,-0.10379,0.37597,-0.52493,0.609648,7.95097
0.84644,0.51344,0,-0.10379,0.38381,-0.52493,0.600169,7.90216
0.85725,0.54017,0,-0.10379,0.39164,-0.52493,0.591808,7.85273
0.86832,0.5686,0,-0.10379,0.39948,-0.52493,0.58444,7.80259
0.87955,0.59857,0,-0.10379,0.40731,-0.52493,0.577763,7.75189
0.89079,0.62973,0,-0.10379,0.41514,-0.52493,0.571597,7.70058
0.90181,0.66146,0,-0.10379,0.42298,-0.52493,0.565799,7.64863
0.91233,0.69285,0,-0.10379,0.43081,-0.52493,0.560349,7.59619
0.92204,0.72279,0,-0.10379,0.43865,-0.52493,0.555042,7.54316
0.93067,0.75024,0,-0.10379,0.44648,-0.52493,0.549797,7.48968
0.93809,0.77445,0,-0.10379,0.45431,-0.52493,0.544548,7.43573
0.94426,0.79504,0,-0.10379,0.46215,-0.52493,0.539244,7.38125
0.94928,0.81205,0,-0.10379,0.46998,-0.52493,0.533952,7.3264
0.95329,0.82588,0,-0.10379,0.47782,-0.52493,0.528534,7.27107
0.95653,0.8372,0,-0.10379,0.48565,-0.52493,0.522967,7.21543
0.95927,0.84684,0,-0.10379,0.49348,-0.52493,0.517235,7.15942
0.96177,0.85571,0,-0.10379,0.50132,-0.52493,0.511325,7.103
0.96426,0.86464,0,-0.10379,0.50915,-0.52493,0.505229,7.04633
0.96694,0.87433,0,-0.10379,0.51699,-0.52493,0.498909,6.98929
0.96997,0.88534,0,-0.10379,0.52482,-0.52493,0.492414,6.93205
1.1486,1.7415,0,-0.10379,-0.52495,-0.51709,0.429135,6.35449
1.1403,1.6917,0,-0.10379,-0.51712,-0.51709,0.428809,6.41536
1.1323,1.6446,0,-0.10379,-0.50928,-0.51709,0.428746,6.47623
1.1247,1.6009,0,-0.10379,-0.50145,-0.51709,0.428945,6.53695
1.1178,1.5618,0,-0.10379,-0.49361,-0.51709,0.429432,6.59763
1.1117,1.528,0,-0.10379,-0.48578,-0.51709,0.430223,6.65811
1.1065,1.5,0,-0.10379,-0.47795,-0.51709,0.431325,6.71844
1.1025,1.478,0,-0.10379,-0.47011,-0.51709,0.432746,6.77867
1.0994,1.4616,0,-0.10379,-0.46228,-0.51709,0.434491,6.83863
